1;date;?;Desconhecido;S
2;date;0;Abril;S
3;date;1;Maio;S
4;date;2;Junho;S
5;date;3;Julho;S
6;date;4;Agosto;S
7;date;5;Setembro;S
8;date;6;Outubro;S
9;plant-stand;?;Desconhecido;N
10;plant-stand;0;Normal;N
11;plant-stand;1;lt-normal;N
12;precip;?;Desconhecido;N
13;precip;0;lt-normal;N
14;precip;1;Normal;N
15;precip;2;gt-normal;N
16;temp;?;Desconhecido;N
17;temp;0;lt-norm;N
18;temp;1;norm;N
19;temp;2;gt-norm;N
20;hail;?;Desconhecido;N
21;hail;0;Yes;N
22;hail;1;No;N
23;crop-hist;?;Desconhecido;S
24;crop-hist;0;diff-1st-year;S
25;crop-hist;1;same-1st-yr;S
26;crop-hist;2;same-lst-two-yrs;S
27;crop-hist;3;same-lst-sev-yrs;S
28;area-damaged;?;Desconhecido;S
29;area-damaged;0;scattered;S
30;area-damaged;1;low-areas;S
31;area-damaged;2;upper-areas;S
32;area-damaged;3;whole-field;S
33;severity;?;Desconhecido;S
34;severity;0;Minor;S
35;severity;1;pot-severe;S
36;severity;2;severe;S
37;seed-tmt;?;Desconhecido;N
38;seed-tmt;0;none;N
39;seed-tmt;1;fungicida;N
40;seed-tmt;2;Outros;N
41;germination;?;Desconhecido;S
42;germination;0;90-100%;S
43;germination;1;80-89 %;S
44;germination;2;lt-80%;S
45;plant-growth;?;Desconhecido;N
46;plant-growth;0;Norm;N
47;plant-growth;1;Abnorm;N
48;leaves;0;Norm;N
49;leaves;1;Abnorm;N
50;leafspots-halo;?;Desconhecido;N
51;leafspots-halo;0;absent;N
52;leafspots-halo;1;yellow-halos;N
53;leafspots-halo;2;no-yellow-halos;N
54;leafspots-marg;?;Desconhecido;N
55;leafspots-marg;0;w-s-marg;N
56;leafspots-marg;1;no-w-s-marg;N
57;leafspots-marg;2;dna;N
58;leafspot-size;?;Desconhecido;N
59;leafspot-size;0;lt-1/8;N
60;leafspot-size;1;gt-1/8;N
61;leafspot-size;2;dna;N
62;leaf-shread;?;Desconhecido;N
63;leaf-shread;0;absent;N
64;leaf-shread;1;Present;N
65;leaf-malf;?;Desconhecido;N
66;leaf-malf;0;Absent;N
67;leaf-malf;1;Present;N
68;leaf-mild;?;Desconhecido;N
69;leaf-mild;0;Absent;N
70;leaf-mild;1;Upper-surf;N
71;leaf-mild;2;Lower-surf;N
72;stem;?;Desconhecido;N
73;stem;0;Norm;N
74;stem;1;Abnorm;N
75;lodging;?;Desconhecido;S
76;lodging;0;Yes;S
77;lodging;1;No;S
78;stem-cankers;?;Desconhecido;S
79;stem-cankers;0;Absent;S
80;stem-cankers;1;below-soil;S
81;stem-cankers;2;Above-soil;S
82;stem-cankers;3;Above-sec-nde;S
83;canker-lesion;?;Desconhecido;N
84;canker-lesion;0;dna;N
85;canker-lesion;1;Brown;N
86;canker-lesion;2;dk-brown-blk;N
87;canker-lesion;3;tan;N
88;fruiting-bodies;?;Desconhecido;N
89;fruiting-bodies;0;Absent;N
90;fruiting-bodies;1;Present;N
91;external decay;?;Desconhecido;N
92;external decay;0;Absent;N
93;external decay;1;firm-and-dry;N
94;external decay;2;watery;N
95;mycelium;?;Desconhecido;N
96;mycelium;0;Absent;N
97;mycelium;1;Present;N
98;int-discolor;?;Desconhecido;N
99;int-discolor;0;None;N
100;int-discolor;1;Brown;N
101;int-discolor;2;Black;N
102;sclerotia;?;Desconhecido;N
103;sclerotia;0;Absent;N
104;sclerotia;1;Present;N
105;fruit-pods;?;Desconhecido;N
106;fruit-pods;0;Norm;N
107;fruit-pods;1;Diseased;N
108;fruit-pods;2;few-present;N
109;fruit-pods;3;dna;N
110;fruit spots;?;Desconhecido;N
111;fruit spots;0;Absent;N
112;fruit spots;1;Colored;N
113;fruit spots;2;Brown-w/blk-specks;N
114;fruit spots;3;Distort;N
115;fruit spots;4;dna;N
116;seed;?;Desconhecido;N
117;seed;0;Norm;N
118;seed;1;Abnorm;N
119;mold-growth;?;Desconhecido;N
120;mold-growth;0;Absent;N
121;mold-growth;1;Present;N
122;seed-discolor;?;Desconhecido;N
123;seed-discolor;0;Absent;N
124;seed-discolor;1;Present;N
125;seed-size;?;Desconhecido;N
126;seed-size;0;Norm;N
127;seed-size;1;lt-norm;N
128;shriveling;?;Desconhecido;N
129;shriveling;0;Absent;N
130;shriveling;1;Present;N
131;roots;?;Desconhecido;S
132;roots;0;Norm;S
133;roots;1;Rotted;S
134;roots;2;galls-cysts;S
